,True Pos,False Pos,False Neg,True Neg,Errors,Eficiency
0,175,34.0,5,1178.0,1,97.19827586206897
1,163,43.0,16,1171.0,0,95.76453697056712
2,175,28.0,14,1175.0,1,96.98275862068965
3,196,30.0,13,1153.0,1,96.91091954022988
4,189,30.0,8,1165.0,1,97.27011494252874
5,187,27.0,9,1170.0,0,97.4156496769562
6,184,31.0,13,1165.0,0,96.8413496051687
7,185,33.0,15,1159.0,1,96.55172413793103
8,195,37.0,10,1149.0,2,96.62113587347233
9,186,37.0,4,1166.0,0,97.05671213208902
10,174,28.0,13,1178.0,0,97.05671213208902
11,159,31.0,10,1193.0,0,97.05671213208902
12,173,33.0,12,1175.0,0,96.76956209619526
13,178,41.0,10,1163.0,1,96.33620689655173
14,183,35.0,9,1165.0,1,96.83908045977012
15,182,43.0,8,1159.0,1,96.33620689655173
16,175,38.0,9,1170.0,1,96.62356321839081
17,184,32.0,5,1170.0,2,97.34004313443566
18,183,39.0,17,1154.0,0,95.97989949748744
19,179,34.0,7,1172.0,1,97.05459770114942
20,169,31.0,10,1181.0,2,97.05248023005032
21,167,34.0,5,1186.0,1,97.19827586206897
22,183,38.0,12,1159.0,1,96.4080459770115
23,188,27.0,7,1171.0,0,97.5592246949031
24,175,32.0,7,1179.0,0,97.20028715003589
25,184,33.0,10,1165.0,1,96.91091954022988
26,161,26.0,11,1194.0,1,97.3419540229885
27,187,33.0,5,1166.0,2,97.26815240833932
28,185,27.0,9,1172.0,0,97.4156496769562
29,165,33.0,7,1188.0,0,97.12849964106246
30,184,28.0,8,1172.0,1,97.41379310344827
31,180,32.0,6,1174.0,1,97.27011494252874
32,171,32.0,10,1179.0,1,96.98275862068965
33,177,26.0,8,1182.0,0,97.5592246949031
34,190,35.0,6,1162.0,0,97.05671213208902
35,168,36.0,7,1182.0,0,96.91313711414213
36,172,42.0,6,1172.0,1,96.55172413793103
37,150,31.0,12,1199.0,1,96.91091954022988
38,171,24.0,7,1191.0,0,97.77458722182341
39,179,34.0,13,1167.0,0,96.62598707824839
40,179,25.0,10,1179.0,0,97.48743718592965
41,177,33.0,16,1166.0,1,96.47988505747126
42,179,26.0,5,1183.0,0,97.77458722182341
43,174,43.0,8,1168.0,0,96.33883704235463
44,169,47.0,6,1170.0,1,96.1925287356322
45,180,34.0,11,1168.0,0,96.76956209619526
46,186,38.0,10,1158.0,1,96.55172413793103
47,146,41.0,11,1195.0,0,96.26704953338118
48,165,30.0,11,1186.0,1,97.05459770114942
49,180,29.0,11,1172.0,1,97.12643678160919
50,166,39.0,9,1179.0,0,96.55419956927494
51,199,30.0,11,1153.0,0,97.05671213208902
52,184,45.0,10,1154.0,0,96.05168700646087
53,174,25.0,14,1180.0,0,97.20028715003589
54,184,34.0,10,1164.0,1,96.83908045977012
55,173,32.0,10,1176.0,2,96.98058950395398
56,172,29.0,4,1188.0,0,97.63101220387652
57,176,39.0,12,1165.0,1,96.33620689655173
58,178,31.0,8,1175.0,1,97.19827586206897
59,182,43.0,11,1156.0,1,96.12068965517241
60,179,37.0,13,1164.0,0,96.41062455132807
61,172,27.0,14,1180.0,0,97.05671213208902
62,162,36.0,7,1187.0,1,96.91091954022988
63,184,34.0,9,1166.0,0,96.91313711414213
64,186,27.0,6,1173.0,1,97.62931034482759
65,161,35.0,11,1185.0,1,96.69540229885058
66,185,34.0,9,1165.0,0,96.91313711414213
67,183,36.0,11,1163.0,0,96.62598707824839
68,186,26.0,10,1169.0,2,97.411933860532
69,186,41.0,8,1158.0,0,96.4824120603015
70,181,36.0,7,1169.0,0,96.91313711414213
71,175,33.0,6,1179.0,0,97.20028715003589
72,177,40.0,13,1162.0,1,96.1925287356322
73,175,34.0,8,1176.0,0,96.98492462311557
74,184,23.0,10,1176.0,0,97.63101220387652
75,189,32.0,12,1159.0,1,96.83908045977012
76,185,29.0,8,1171.0,0,97.34386216798278
77,166,46.0,9,1172.0,0,96.05168700646087
78,172,34.0,10,1177.0,0,96.8413496051687
79,194,38.0,10,1150.0,1,96.55172413793103
80,170,35.0,10,1177.0,1,96.76724137931035
81,189,31.0,11,1162.0,0,96.98492462311557
82,172,31.0,15,1175.0,0,96.69777458722182
83,175,32.0,13,1173.0,0,96.76956209619526
84,172,37.0,7,1175.0,2,96.83680805176132
85,171,34.0,9,1179.0,0,96.91313711414213
86,173,29.0,11,1180.0,0,97.12849964106246
87,182,35.0,9,1166.0,1,96.83908045977012
88,189,29.0,7,1168.0,0,97.4156496769562
89,168,39.0,17,1168.0,1,95.97701149425288
90,179,40.0,12,1162.0,0,96.26704953338118
91,181,31.0,10,1170.0,1,97.05459770114942
92,156,35.0,10,1192.0,0,96.76956209619526
93,167,29.0,8,1188.0,1,97.3419540229885
94,177,37.0,10,1169.0,0,96.62598707824839
95,171,32.0,14,1175.0,1,96.69540229885058
96,184,33.0,13,1161.0,2,96.69302659956865
97,179,41.0,10,1162.0,1,96.33620689655173
98,170,30.0,10,1182.0,1,97.12643678160919
99,172,32.0,11,1178.0,0,96.91313711414213
100,157,34.0,11,1189.0,2,96.764917325665
101,170,39.0,10,1173.0,1,96.47988505747126
102,184,29.0,9,1170.0,1,97.27011494252874
103,182,35.0,10,1166.0,0,96.76956209619526
104,178,35.0,10,1170.0,0,96.76956209619526
105,155,42.0,6,1189.0,1,96.55172413793103
106,175,39.0,6,1173.0,0,96.76956209619526
107,182,33.0,8,1170.0,0,97.05671213208902
108,181,34.0,11,1166.0,1,96.76724137931035
109,183,36.0,8,1166.0,0,96.8413496051687
110,178,35.0,10,1170.0,0,96.76956209619526
111,157,36.0,12,1186.0,2,96.54924514737598
112,192,40.0,4,1157.0,0,96.8413496051687
113,156,35.0,14,1187.0,1,96.47988505747126
114,186,24.0,9,1174.0,0,97.63101220387652
115,190,34.0,9,1159.0,1,96.91091954022988
116,168,41.0,10,1174.0,0,96.33883704235463
117,171,41.0,9,1172.0,0,96.41062455132807
118,174,30.0,8,1180.0,1,97.27011494252874
119,176,34.0,11,1171.0,1,96.76724137931035
120,190,24.0,9,1170.0,0,97.63101220387652
121,178,37.0,6,1172.0,0,96.91313711414213
122,204,31.0,17,1141.0,0,96.55419956927494
123,178,27.0,12,1175.0,1,97.19827586206897
124,191,27.0,12,1161.0,2,97.19626168224299
125,180,28.0,8,1177.0,0,97.4156496769562
126,173,36.0,10,1172.0,2,96.69302659956865
127,171,37.0,7,1178.0,0,96.8413496051687
128,169,49.0,11,1164.0,0,95.69274946159368
129,169,26.0,12,1185.0,1,97.27011494252874
130,173,29.0,12,1179.0,0,97.05671213208902
131,167,38.0,13,1175.0,0,96.33883704235463
132,203,33.0,11,1146.0,0,96.8413496051687
133,189,33.0,7,1164.0,0,97.12849964106246
134,166,31.0,9,1187.0,0,97.12849964106246
135,183,38.0,7,1164.0,1,96.76724137931035
136,165,42.0,10,1176.0,0,96.26704953338118
137,195,37.0,9,1151.0,1,96.69540229885058
138,199,34.0,8,1151.0,1,96.98275862068965
139,174,34.0,14,1171.0,0,96.55419956927494
140,183,33.0,8,1169.0,0,97.05671213208902
141,185,34.0,10,1164.0,0,96.8413496051687
142,160,40.0,16,1177.0,0,95.97989949748744
143,156,34.0,12,1191.0,0,96.69777458722182
144,162,35.0,10,1184.0,2,96.764917325665
145,169,29.0,8,1187.0,0,97.34386216798278
146,166,38.0,12,1177.0,0,96.41062455132807
147,167,25.0,10,1191.0,0,97.48743718592965
148,159,39.0,10,1185.0,0,96.4824120603015
149,179,26.0,15,1173.0,0,97.05671213208902
150,164,30.0,8,1190.0,1,97.27011494252874
151,183,34.0,12,1164.0,0,96.69777458722182
152,171,36.0,14,1171.0,1,96.4080459770115
153,176,36.0,11,1169.0,1,96.62356321839081
154,180,31.0,3,1179.0,0,97.5592246949031
155,150,33.0,7,1203.0,0,97.12849964106246
156,167,31.0,8,1187.0,0,97.20028715003589
157,186,23.0,13,1171.0,0,97.4156496769562
158,189,39.0,14,1150.0,1,96.1925287356322
159,189,39.0,6,1159.0,0,96.76956209619526
160,172,41.0,6,1174.0,0,96.62598707824839
161,181,32.0,9,1171.0,0,97.05671213208902
162,173,34.0,9,1175.0,2,96.90869877785767
163,179,34.0,10,1169.0,1,96.83908045977012
164,172,31.0,5,1184.0,1,97.41379310344827
165,171,37.0,14,1171.0,0,96.33883704235463
166,180,34.0,14,1164.0,1,96.55172413793103
167,180,24.0,11,1178.0,0,97.48743718592965
168,201,29.0,7,1155.0,1,97.41379310344827
169,170,25.0,15,1182.0,1,97.12643678160919
170,162,30.0,11,1188.0,2,97.05248023005032
171,200,31.0,11,1151.0,0,96.98492462311557
172,173,29.0,12,1178.0,1,97.05459770114942
173,176,33.0,10,1174.0,0,96.91313711414213
174,172,34.0,10,1176.0,1,96.83908045977012
175,184,44.0,10,1154.0,1,96.12068965517241
176,189,31.0,9,1164.0,0,97.12849964106246
177,183,28.0,7,1175.0,0,97.48743718592965
178,176,28.0,6,1182.0,1,97.5574712643678
179,165,35.0,5,1187.0,1,97.12643678160919
180,161,36.0,11,1185.0,0,96.62598707824839
181,151,28.0,11,1203.0,0,97.20028715003589
